No;Tahun;Bulan;IHK_Rokok_Tembakau_Y;IHK_Umum_X1;NTP_Perkebunan_Rakyat_X2;;
1;2018;Januari;97.68;96.26.00;103.08.00;;
2;2018;Februari;97.09.00;96.45.00;106.12.00;;
3;2018;Maret;98.12.00;96.61;106.76;;
4;2018;April;98.38.00;96.88;105.84;;
5;2018;Mei;98.73;97.28.00;105.67;;
6;2018;Juni;99.01.00;97.53.00;108.58.00;;
7;2018;Juli;99.43.00;97.82;106.13.00;;
8;2018;Agustus;99.69;98.09.00;105.55.00;;
9;2018;September;99.85;98.17.00;103.83;;
10;2018;Oktober;100.01.00;98.22.00;100.17.00;;
11;2018;November;100.12.00;98.36.00;97.53.00;;
12;2018;Desember;100.38.00;98.05.00;98.05.00;;
13;2019;Januari;103.77;98.87;96.74;;
14;2019;Februari;104.09.00;99.01.00;96.15.00;;
15;2019;Maret;104.33.00;99.41.00;96.22.00;;
16;2019;April;104.63;99.75;96.78;;
17;2019;Mei;105.01.00;100.08.00;94.72;;
18;2019;Juni;105.03.00;100.39.00;96.22.00;;
19;2019;Juli;105.62;100.66;102.15.00;;
20;2019;Agustus;105.94;100.86;102.69;;
21;2019;September;106.22.00;101.06.00;102.09.00;;
22;2019;Oktober;106.41.00;101.19.00;103.41.00;;
23;2019;November;106.61;101.29.00;105.59.00;;
24;2019;Desember;106.94;101.53.00;108.48.00;;
25;2020;Januari;109.29.00;101.79;107.59.00;;
26;2020;Februari;109.46.00;101.99;107.02.00;;
27;2020;Maret;109.76;102.28.00;104.24.00;;
28;2020;April;110.08.00;102.05.00;103.31.00;;
29;2020;Mei;110.49.00;102.91;102.37.00;;
30;2020;Juni;110.72;103.12.00;99.74;;
31;2020;Juli;111.08.00;103.47.00;101.04.00;;
32;2020;Agustus;111.29.00;103.58.00;99.67;;
33;2020;September;111.54.00;103.72;95.85;;
34;2020;Oktober;111.73;103.77;95.99;;
35;2020;November;111.09.00;103.96;97.05.00;;
36;2020;Desember;112.24.00;104.03.00;96.49.00;;
37;2021;Januari;114.08.00;104.59.00;98.76;;
38;2021;Februari;115.17.00;104.88;97.44.00;;
39;2021;Maret;115.45.00;105.21.00;99.49.00;;
40;2021;April;115.74;105.48.00;99.51.00;;
41;2021;Mei;116.03.00;105.74;103.25.00;;
42;2021;Juni;116.27.00;106.00.00;106.89;;
43;2021;Juli;116.61;106.28.00;105.32.00;;
44;2021;Agustus;116.84;106.46.00;106.33.00;;
45;2021;September;117.08.00;106.57.00;107.48.00;;
46;2021;Oktober;117.27.00;106.63;105.05.00;;
47;2021;November;117.54.00;106.08.00;102.95;;
48;2021;Desember;117.73;106.88;105.95;;
49;2022;Januari;120.07.00;107.18.00;103.41.00;;
50;2022;Februari;120.38.00;107.45.00;103.05.00;;
51;2022;Maret;120.69;107.74;99.96;;
52;2022;April;120.97;108.08.00;96.01.00;;
53;2022;Mei;121.26.00;108.32.00;97.82;;
54;2022;Juni;121.06.00;108.57.00;96.27.00;;
55;2022;Juli;121.86;108.08.00;96.36.00;;
56;2022;Agustus;122.16.00;109.03.00;95.37.00;;
57;2022;September;122.04.00;109.27.00;97.25.00;;
58;2022;Oktober;122.57.00;109.39.00;98.17.00;;
59;2022;November;122.77;109.05.00;100.14.00;;
60;2022;Desember;123.09.00;109.77;100.47.00;;
61;2023;Januari;125.99;109.84;102.24.00;;
62;2023;Februari;126.28.00;110.02.00;104.04.00;;
63;2023;Maret;126.61;110.56.00;104.84;;
64;2023;April;126.89;110.81;104.89;;
65;2023;Mei;127.14.00;110.99;105.95;;
66;2023;Juni;127.43.00;111.25.00;105.81;;
67;2023;Juli;127.72;111.48.00;105.61;;
68;2023;Agustus;127.93;111.67;103.85;;
69;2023;September;128.18.00;111.85;104.07.00;;
70;2023;Oktober;128.35.00;111.96;101.93;;
71;2023;November;128.62;112.21.00;98.12.00;;
72;2023;Desember;128.86;112.37.00;98.57.00;;
73;2024;Januari;132.05.00;112.56.00;95.65;;
74;2024;Februari;132.32.00;112.08.00;96.01.00;;
75;2024;Maret;132.61;113.17.00;95.16.00;;
76;2024;April;132.84;113.04.00;96.59.00;;
77;2024;Mei;133.13.00;113.62;96.86;;
78;2024;Juni;133.45.00;113.09.00;97.74;;
79;2024;Juli;133.75;114.19.00;100.37.00;;
80;2024;Agustus;134.00.00;114.36.00;101.54.00;;
81;2024;September;134.02.00;114.53.00;103.27.00;;
82;2024;Oktober;134.44.00;114.65;101.56.00;;
83;2024;November;134.63;114.71;107.48.00;;
84;2024;Desember;134.88;114.95;103.92;;
85;2025;Januari;137.63;115.19.00;106.29.00;;
86;2025;Februari;137.94;115.05.00;105.96;;
87;2025;Maret;138.29.00;115.85;103.17.00;;
88;2025;April;138.58.00;116.01.00;104.08.00;;
89;2025;Mei;138.94;116.42.00;102.08.00;;
90;2025;Juni;139.22.00;116.76;99.28.00;;
91;2025;Juli;139.53.00;116.95;99.34.00;;
92;2025;Agustus;139.74;117.17.00;99.24.00;;
93;2025;September;139.91;117.29.00;98.07.00;;
94;2025;Oktober;140.14.00;117.41.00;97.48.00;;
95;2025;November;140.38.00;117.55.00;95.62;;
96;2025;Desember;140.59.00;117.72;95.91;;
97;2026;Januari;142.87;117.85;95.56.00;;
98;2026;Februari;143.13.00;118.14.00;99.06.00;;
99;2026;Maret;143.45.00;118.51.00;97.35.00;;
100;2026;April;143.87;118.87;101.07.00;;
;;;;;;;
