DATASET IHK ROKOK SULTENG;;;;;
;;;;;
;;;;;
No.;Tahun;Bulan;IHK Rokok & Tembakau (Y);IHK Umum (X1);NTP Perkebunan Rakyat (X2)
1;2018;Januari;97,68;96,26;103,08
2;2018;Februari;97,09;96,45;106,12
3;2018;Maret;98,12;96,61;106,76
4;2018;April;98,38;96,88;105,84
5;2018;Mei;98,73;97,28;105,67
6;2018;Juni;99,01;97,53;108,58
7;2018;Juli;99,43;97,82;106,13
8;2018;Agustus;99,69;98,09;105,55
9;2018;September;99,85;98,17;103,83
10;2018;Oktober;100,01;98,22;100,17
11;2018;November;100,12;98,36;97,53
12;2018;Desember;100,38;98,05;98,05
13;2019;Januari;103,77;98,87;96,74
14;2019;Februari;104,09;99,01;96,15
15;2019;Maret;104,33;99,41;96,22
16;2019;April;104,63;99,75;96,78
17;2019;Mei;105,01;100,08;94,72
18;2019;Juni;105,03;100,39;96,22
19;2019;Juli;105,62;100,66;102,15
20;2019;Agustus;105,94;100,86;102,69
21;2019;September;106,22;101,06;102,09
22;2019;Oktober;106,41;101,19;103,41
23;2019;November;106,61;101,29;105,59
24;2019;Desember;106,94;101,53;108,48
25;2020;Januari;109,29;101,79;107,59
26;2020;Februari;109,46;101,99;107,02
27;2020;Maret;109,76;102,28;104,24
28;2020;April;110,08;102,05;103,31
29;2020;Mei;110,49;102,91;102,37
30;2020;Juni;110,72;103,12;99,74
31;2020;Juli;111,08;103,47;101,04
32;2020;Agustus;111,29;103,58;99,67
33;2020;September;111,54;103,72;95,85
34;2020;Oktober;111,73;103,77;95,99
35;2020;November;111,09;103,96;97,05
36;2020;Desember;112,24;104,03;96,49
37;2021;Januari;114,08;104,59;98,76
38;2021;Februari;115,17;104,88;97,44
39;2021;Maret;115,45;105,21;99,49
40;2021;April;115,74;105,48;99,51
41;2021;Mei;116,03;105,74;103,25
42;2021;Juni;116,27;106,00;106,89
43;2021;Juli;116,61;106,28;105,32
44;2021;Agustus;116,84;106,46;106,33
45;2021;September;117,08;106,57;107,48
46;2021;Oktober;117,27;106,63;105,05
47;2021;November;117,54;106,08;102,95
48;2021;Desember;117,73;106,88;105,95
49;2022;Januari;120,07;107,18;103,41
50;2022;Februari;120,38;107,45;103,05
51;2022;Maret;120,69;107,74;99,96
52;2022;April;120,97;108,08;96,01
53;2022;Mei;121,26;108,32;97,82
54;2022;Juni;121,06;108,57;96,27
55;2022;Juli;121,86;108,08;96,36
56;2022;Agustus;122,16;109,03;95,37
57;2022;September;122,04;109,27;97,25
58;2022;Oktober;122,57;109,39;98,17
59;2022;November;122,77;109,05;100,14
60;2022;Desember;123,09;109,77;100,47
61;2023;Januari;125,99;109,84;102,24
62;2023;Februari;126,28;110,02;104,04
63;2023;Maret;126,61;110,56;104,84
64;2023;April;126,89;110,81;104,89
65;2023;Mei;127,14;110,99;105,95
66;2023;Juni;127,43;111,25;105,81
67;2023;Juli;127,72;111,48;105,61
68;2023;Agustus;127,93;111,67;103,85
69;2023;September;128,18;111,85;104,07
70;2023;Oktober;128,35;111,96;101,93
71;2023;November;128,62;112,21;98,12
72;2023;Desember;128,86;112,37;98,57
73;2024;Januari;132,05;112,56;95,65
74;2024;Februari;132,32;112,08;96,01
75;2024;Maret;132,61;113,17;95,16
76;2024;April;132,84;113,04;96,59
77;2024;Mei;133,13;113,62;96,86
78;2024;Juni;133,45;113,09;97,74
79;2024;Juli;133,75;114,19;100,37
80;2024;Agustus;134,00;114,36;101,54
81;2024;September;134,02;114,53;103,27
82;2024;Oktober;134,44;114,65;101,56
83;2024;November;134,63;114,71;107,48
84;2024;Desember;134,88;114,95;103,92
85;2025;Januari;137,63;115,19;106,29
86;2025;Februari;137,94;115,05;105,96
87;2025;Maret;138,29;115,85;103,17
88;2025;April;138,58;116,01;104,08
89;2025;Mei;138,94;116,42;102,08
90;2025;Juni;139,22;116,76;99,28
91;2025;Juli;139,53;116,95;99,34
92;2025;Agustus;139,74;117,17;99,24
93;2025;September;139,91;117,29;98,07
94;2025;Oktober;140,14;117,41;97,48
95;2025;November;140,38;117,55;95,62
96;2025;Desember;140,59;117,72;95,91
97;2026;Januari;142,87;117,85;95,56
98;2026;Februari;143,13;118,14;99,06
99;2026;Maret;143,45;118,51;97,35
100;2026;April;143,87;118,87;101,07
