Observasi,Inflasi_Makro_Persen,NTP_Perkebunan,IHK_Rokok_dan_Tembakau
1,4.7,109.71,109.55
2,2.62,113.34,109.42
3,5.96,110.17,111.11
4,1.65,110.91,107.79
5,1.63,110.89,108.2
6,4.22,111.08,110.24
7,5.55,110.09,111.91
8,4.99,111.84,109.69
9,6.29,111.9,110.61
10,1.98,114.54,108.8
11,5.54,114.03,111.56
12,6.37,112.35,112.11
13,5.65,113.63,112.58
14,4.39,114.14,109.13
15,2.64,112.15,107.5
16,2.66,111.29,108.01
17,4.68,112.68,110.17
18,2.55,112.27,110.01
19,4.74,114.07,109.79
20,5.15,111.92,110.51
21,6.45,114.38,112.44
22,4.92,115.47,111.93
23,2.65,111.5,108.14
24,2.84,112.47,110.3
25,5.88,113.07,112.09
26,3.48,116.15,109.83
27,2.82,112.89,109.19
28,2.81,114.66,110.4
29,3.5,112.92,111.08
30,4.05,112.35,108.63
31,2.05,115.12,109.49
32,3.61,112.38,109.26
33,6.48,114.79,113.76
34,5.8,112.28,112.13
35,4.91,114.98,110.33
36,4.7,112.94,110.41
37,3.77,117.23,111.46
38,2.82,115.04,108.3
39,6.06,116.97,111.64
40,4.69,115.74,109.89
41,5.31,115.48,112.27
42,4.15,112.86,109.6
43,1.6,117.59,109.67
44,5.66,114.56,110.29
45,5.89,117.83,110.96
46,3.93,113.53,110.81
47,5.33,113.9,111.18
48,4.25,114.67,111.55
49,3.62,114.48,109.99
50,5.15,114.51,110.61
51,6.48,116.83,112.4
52,4.09,114.27,109.42
53,3.19,116.68,108.96
54,2.6,114.17,109.36
55,2.64,118.43,110.59
56,1.85,115.17,108.96
57,2.57,114.72,110.32
58,4.36,116.5,111.6
59,5.54,115.17,110.38
60,3.66,116.42,110.04
61,5.15,117.75,113.02
62,1.99,116.47,108.25
63,5.81,115.78,110.96
64,3.74,116.73,109.58
65,2.75,119.32,109.55
66,5.81,117.53,110.75
67,6.5,119.04,114.28
68,6.13,119.18,111.57
69,3.93,116.09,110.03
70,1.79,116.99,110.08
71,2.83,119.1,109.62
72,3.62,120.05,112.03
73,4.28,118.93,109.93
74,2.98,120.26,110.26
75,4.21,119.24,109.62
76,4.42,118.09,112.05
77,2.29,120.46,108.2
78,2.43,118.72,109.9
79,2.68,116.42,110.48
80,2.73,118.87,110.0
81,3.6,118.9,110.46
82,6.17,117.08,113.0
83,2.69,118.12,110.04
84,3.0,117.8,110.5
85,1.86,118.59,110.37
86,6.48,116.75,111.72
87,2.83,121.13,111.14
88,5.9,118.39,111.26
89,5.67,120.14,112.63
90,6.44,119.97,111.45
91,5.59,118.28,112.5
92,6.19,117.53,111.27
93,2.04,119.71,108.48
94,4.52,120.61,110.49
95,4.67,118.42,111.21
96,6.03,121.41,111.53
97,3.62,118.64,108.88
98,5.36,120.53,111.37
99,5.21,120.18,111.69
100,1.55,117.88,109.67
